course_slug,policy_type,policy_summary,source_text,days_before_open,open_weekday,open_time,monthly_open_day,monthly_offset_months,rule_interpretation,manual_open_datetime,is_active,note
cn-1-5e78f516,days_before,,,,,,,,,,true,
cn-2-4d283443,days_before,,,,,,,,,,true,
cn-cc1-2f9359fd,days_before,,,,,,,,,,true,
cn-cc2-c3d41cc5,days_before,,,,,,,,,,true,
gb-c-c-a20194c5,days_before,,,,,,,,,,true,
gb-c-c-9f2363db,days_before,,,,,,,,,,true,
gb-c-c-813917dd,days_before,,,,,,,,,,true,
gb-c-c-d417b4fb,days_before,,,,,,,,,,true,
gb-c-c-ebef110c,days_before,,,,,,,,,,true,
gb-g-c-e672ffdc,days_before,,,,,,,,,,true,
gb-c-c-d4184431,days_before,,,,,,,,,,true,
gb-c-c-fded3591,days_before,,,,,,,,,,true,
gb-course-6c9a5eb1,days_before,,,,,,,,,,true,
gb-course-fad5cd06,days_before,,,,,,,,,,true,
gb-g-c-10e7573f,days_before,,,,,,,,,,true,
gb-g-c-2c2368d9,days_before,,,,,,,,,,true,
gb-course-9f8e7265,days_before,,,,,,,,,,true,
gb-c-c-736163bf,days_before,,,,,,,,,,true,
gb-g-c-f5382b37,days_before,,,,,,,,,,true,
gb-g-c-dd794364,days_before,,,,,,,,,,true,
gb-c-c-563dcbb0,days_before,,,,,,,,,,true,
gb-c-c-cbe1fa91,days_before,,,,,,,,,,true,
gb-c-c-79faaa09,days_before,,,,,,,,,,true,
gb-c-c-05cc08d4,days_before,,,,,,,,,,true,
gb-c-c-88d914d7,days_before,,,,,,,,,,true,
gb-c-c-1f25ec74,days_before,,,,,,,,,,true,
gb-course-d9e74f32,days_before,,,,,,,,,,true,
gb-course-9edc6ef0,days_before,,,,,,,,,,true,
gb-course-76cf04f3,days_before,,,,,,,,,,true,
gb-c-c-f04000cd,days_before,,,,,,,,,,true,
gb-g-c-fabaeb70,days_before,,,,,,,,,,true,
gb-c-c-46be2af7,days_before,,,,,,,,,,true,
gb-g-c-1ba5cc5b,days_before,,,,,,,,,,true,
gb-course-30b079c2,days_before,,,,,,,,,,true,
gb-course-5bf73394,days_before,,,,,,,,,,true,
gb-ii-db71420d,days_before,,,,,,,,,,true,
gb-course-cee6a48d,days_before,,,,,,,,,,true,
gb-c-c-e29b3857,days_before,,,,,,,,,,true,
gb-course-3714471d,days_before,,,,,,,,,,true,
gb-c-c-a2e747ab,days_before,,,,,,,,,,true,
gb-g-c-19609616,days_before,,,,,,,,,,true,
gb-course-539deb35,days_before,,,,,,,,,,true,
gb-course-2d2d4767,days_before,,,,,,,,,,true,
gb-c-c-2506a322,days_before,,,,,,,,,,true,
gb-c-c-a6a36dde,days_before,,,,,,,,,,true,
gb-c-c-11685c7f,days_before,,,,,,,,,,true,
gb-g-c-0ad6ac6f,days_before,,,,,,,,,,true,
gb-course-42c3af81,days_before,,,,,,,,,,true,
gb-c-c-e5a7f9a0,days_before,,,,,,,,,,true,
gb-course-42136a3b,days_before,,,,,,,,,,true,
gb-course-8c2b6734,days_before,,,,,,,,,,true,
gb-course-9170b1a2,days_before,,,,,,,,,,true,
gb-c-c-fc2eb127,days_before,,,,,,,,,,true,
gb-course-25adc2d8,days_before,,,,,,,,,,true,
gb-c-c-61c31fbc,days_before,,,,,,,,,,true,
gb-c-c-5f133081,days_before,,,,,,,,,,true,
gb-c-c-and-02ddeb8a,days_before,,,,,,,,,,true,
gb-course-d2b02799,days_before,,,,,,,,,,true,
gn-course-9910ed73,days_before,,,,,,,,,,true,
gn-course-a4c88ee2,days_before,,,,,,,,,,true,
gn-course-2f6576f9,days_before,,,,,,,,,,true,
gn-course-8036bac7,days_before,,,,,,,,,,true,
gn-course-794006c6,days_before,,,,,,,,,,true,
gn-course-243b2e46,days_before,,,,,,,,,,true,
gn-course-2f10c02b,days_before,,,,,,,,,,true,
gn-course-3edb5585,days_before,,,,,,,,,,true,
gn-course-e7f0bd83,days_before,,,,,,,,,,true,
gn-course-5e32a251,days_before,,,,,,,,,,true,
gn-course-0285d1bb,days_before,,,,,,,,,,true,
gn-course-a487f341,days_before,,,,,,,,,,true,
gn-course-dc794129,days_before,,,,,,,,,,true,
gn-course-4bc9510b,days_before,,,,,,,,,,true,
gn-course-abe03406,days_before,,,,,,,,,,true,
gn-course-4e91060a,days_before,,,,,,,,,,true,
gn-course-dbd27493,days_before,,,,,,,,,,true,
gn-course-ed9aaa94,days_before,,,,,,,,,,true,
gn-course-7fe2afda,days_before,,,,,,,,,,true,
gn-course-8e0c8451,days_before,,,,,,,,,,true,
gn-course-dd269d3b,days_before,,,,,,,,,,true,
gn-course-dfcc7b14,days_before,,,,,,,,,,true,
gn-course-69382c40,days_before,,,,,,,,,,true,
gn-course-d5bbb580,days_before,,,,,,,,,,true,
gn-course-dc790ebf,days_before,,,,,,,,,,true,
gn-course-ab44cef1,days_before,,,,,,,,,,true,
gn-course-34ecdb6c,days_before,,,,,,,,,,true,
gn-course-09186409,days_before,,,,,,,,,,true,
gn-course-b09b2f57,days_before,,,,,,,,,,true,
gn-course-b3a23c87,days_before,,,,,,,,,,true,
gn-course-7a5d409d,days_before,,,,,,,,,,true,
gn-course-b53adc29,days_before,,,,,,,,,,true,
gn-course-5d80a4e9,days_before,,,,,,,,,,true,
gn-course-acc9787b,days_before,,,,,,,,,,true,
gn-course-0653b7e3,days_before,,,,,,,,,,true,
gn-course-8581297c,days_before,,,,,,,,,,true,
gn-course-039ac908,days_before,,,,,,,,,,true,
gn-course-bf9f03fa,days_before,,,,,,,,,,true,
jb-course-8024415b,days_before,,,,,,,,,,true,
jb-course-5d6767dc,days_before,,,,,,,,,,true,
jb-course-e805758a,days_before,,,,,,,,,,true,
jb-course-b8ecc17f,days_before,,,,,,,,,,true,
