slug,name,english_name,region_primary,region_secondary,address,phone,homepage_url,booking_url,map_url,membership_required,membership_note,booking_note,status,verification_status
jb-course-30bf2f77,웅포컨트리클럽,,전북,익산,전라북도 익산시 웅포면 강변로 130,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-clubd-9a21ebf2,CLUBD 금강,,전북,익산,전라북도 익산시 웅포면 강변로 130,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-46306884,태인CC,,전북,정읍,전라북도 정읍시 태인면 상증길 28,,,,,false,대중제,odcloud batch import / holes=18 / source_count=2,active,draft
jb-and-46c270e7,내장산골프&리조트,,전북,정읍,전라북도 정읍시 첨단과학로 476,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-537207f9,남원상록골프장,,전북,남원,전라북도 남원시 대산면 월계길 11,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-7723e606,골프존 카운티 드래곤,,전북,남원,전라북도 남원시 대산면 대사로 498,,,,,false,대중제,odcloud batch import / holes=18 / source_count=2,active,draft
jb-course-2c2622d8,아네스빌CC,,전북,김제,전라북도 김제시 황산면 높은메길 160-39,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
jb-course-9ecef69a,에스페란사GC,,전북,김제,전라북도 김제시 금구면 낙산로 120,,,,,false,대중제,odcloud batch import / holes=10 / source_count=1,active,draft
jb-course-88734f77,김제스파힐스CC,,전북,김제,전라북도 김제시 온천길 37,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-6aff61de,더나인골프클럽,,전북,김제,전라북도 김제시 금구면 대화1길 8-75,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
jb-okcc-c3915bac,OKCC,,전북,완주,전라북도 완주군 소양면 화심리 300,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
jb-course-831b8ac6,케이밸리컨트리클럽,,전북,완주,전라북도 완주군 운주면 산북리 65-4,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
jb-course-d2195764,써미트CC,,전북,진안,전라북도 진안군 부귀면 부귀로 72-161,,,,,false,대중제,odcloud batch import / holes=27 / source_count=1,active,draft
jb-course-4ef7415e,무주덕유산CC,,전북,무주,전라북도 무주군 설천면 만선로 185,,,,,true,회원제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-0430266b,골프존카운티무주,,전북,무주,전라북도 무주군 안성면 장무로 1537-21,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-0d8b0623,장수골프리조트,,전북,장수,전라북도 장수군 계남면 장안산로 303,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-20ef661a,전주샹그릴라CC,,전북,임실,전라북도 임실군 신덕면 수지로 559-90,,,,,true,회원제,odcloud batch import / holes=27 / source_count=1,active,draft
jb-course-ae8048e1,금과골프장,,전북,순창,전라북도 순창군 금과면 담순로 716,,,,,false,대중제,odcloud batch import / holes=6 / source_count=1,active,draft
jb-course-a9da744b,디케이레저,,전북,순창,전라북도 순창군 순창읍 금산로 152,,,,,false,대중제,odcloud batch import / holes=9 / source_count=1,active,draft
jb-course-0be0e149,고창CC,,전북,고창,전라북도 고창군 심원면 애향갯벌로 70,,,,,false,대중제,odcloud batch import / holes=21 / source_count=1,active,draft
jb-course-f324085d,골프존카운티선운,,전북,고창,전라북도 고창군 아산면 운곡로 418,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jb-course-763d9a1a,석정힐CC,,전북,고창,전라북도 고창군 고창읍 석정2로 192,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jn-and-07543a3a,여수시티파크골프&호텔,,전남,여수,여수시 좌수영로 641,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jn-course-d1cb7309,디오션CC,,전남,여수,여수시 화양면 장수 암포로 142,,,,,false,대중제,odcloud batch import / holes=18 / source_count=1,active,draft
jn-course-79fd4827,세이지우드여수경도,,전남,여수,여수시 대경도길 33,,,,,false,대중제,odcloud batch import / holes=27 / source_count=1,active,draft
